loan_fact_id|date_id|loan_id|account_id|location_id|currency_id|loan_amount|loan_status
58868|1813|26|95|44|1|149267.79|Pending
76165|658|8|2|40|1|325732.23|Approved
13204|1604|9|57|39|2|437332.33|Pending
70667|1440|41|94|28|1|444266.9|Pending
27066|547|22|57|8|1|398552.94|Rejected
5888|1340|7|28|39|2|258796.17|Approved
49548|1089|19|88|20|1|155362.68|Rejected
32478|1788|5|70|9|2|8798.24|Pending
56690|1513|17|60|50|2|485655.67|Pending
49625|1575|3|100|9|2|42070.78|Approved
2393|711|44|38|7|3|14009.24|Rejected
18270|655|3|6|13|2|278818.47|Approved
42370|160|33|38|22|2|130128.68|Rejected
73086|604|18|73|38|2|439341.28|Pending
76074|1589|23|90|43|3|43351.85|Rejected
64497|223|19|46|34|2|375777.95|Approved
65762|330|1|71|19|3|391542.1|Pending
35888|1111|30|42|17|2|400008.64|Rejected
22150|534|31|75|39|2|268530.23|Approved
3782|489|32|71|26|3|290790.25|Pending
33885|237|32|83|47|3|483440.54|Pending
64572|86|18|11|20|1|39867.46|Rejected
9277|218|40|92|5|1|95372.78|Pending
19779|1182|50|65|14|1|121018.75|Pending
46884|448|14|62|39|2|271870.86|Pending
32370|1041|36|35|19|3|366527.66|Pending
54350|1010|7|5|50|2|117172.24|Rejected
54807|1743|28|75|50|2|492014.25|Rejected
52885|701|25|89|13|2|157525.36|Pending
18122|1766|48|36|13|3|157780.04|Rejected
89263|1462|31|32|46|2|178609.66|Approved
51045|791|28|8|37|1|163731.94|Approved
42086|1203|34|100|2|2|289171.37|Pending
98821|1294|37|54|45|1|73822.53|Approved
59639|100|21|13|19|3|353617.92|Rejected
19679|417|39|44|5|2|281588.07|Pending
35682|974|32|46|7|1|177560.88|Pending
66186|954|45|49|35|2|42320.68|Approved
68361|779|45|83|49|3|143817.13|Approved
93613|1536|2|78|39|3|224319.35|Pending
5541|300|45|28|11|1|41073.44|Pending
69053|415|29|76|27|3|381640.2|Pending
74433|306|5|91|19|2|22292.09|Rejected
59424|1226|12|40|7|3|342389.06|Approved
82869|347|31|2|2|1|347639.89|Approved
61180|1364|47|73|7|3|340591.64|Approved
75764|1008|31|46|43|2|229767.69|Pending
31507|15|37|8|35|2|362475.21|Approved
87522|1666|4|17|17|2|176611.74|Approved
44488|1725|22|79|23|1|62760.63|Pending
31673|881|3|93|41|3|51048.13|Rejected
31078|1149|37|17|40|2|416971.45|Approved
24801|483|35|89|9|3|437869.6|Pending
30120|206|17|56|2|2|494914.23|Pending
81246|1286|50|87|11|1|148649.9|Approved
38329|1621|1|75|47|1|10843.52|Pending
9214|492|47|86|9|1|381211.15|Approved
31236|87|37|77|12|1|480919.12|Rejected
86199|1072|5|97|41|1|355900.55|Rejected
1481|969|37|41|21|2|70266.24|Approved
90217|1544|13|55|17|3|86323.86|Pending
43284|1516|24|89|20|3|237837.78|Rejected
64464|1684|25|1|38|2|440634.85|Rejected
14369|1032|9|99|8|3|112817.91|Pending
23046|912|19|82|10|1|92873.78|Pending
82842|1725|4|34|47|3|85504.86|Approved
28184|347|12|17|44|1|411595.78|Pending
87718|481|24|59|33|1|268632.52|Pending
94229|1585|23|65|12|2|313740.18|Approved
83063|1092|25|3|28|2|290653.52|Pending
49423|280|36|52|14|3|180359.1|Pending
38546|769|15|95|15|3|212770.74|Approved
36384|566|10|59|46|2|390199.88|Rejected
65113|217|47|85|2|3|338483.62|Approved
24944|1284|7|64|9|3|246912.77|Approved
48889|1811|34|26|11|2|85172.84|Pending
59705|946|39|31|41|1|499345.87|Pending
49678|1769|34|4|12|1|201574.78|Approved
48254|1286|35|58|35|2|165689.91|Pending
97358|1626|7|43|32|1|251118.59|Approved
67173|293|46|69|45|2|323470.94|Approved
6990|949|1|46|30|1|442638.24|Rejected
83645|1436|7|65|18|3|420146.55|Rejected
15599|271|50|82|5|2|410520.84|Approved
77084|412|46|58|23|2|176750.47|Pending
77891|401|33|29|8|3|345667.86|Approved
35142|704|16|2|37|3|182322.57|Pending
54123|114|39|68|12|3|43746.16|Approved
15306|6|20|17|7|3|106547.81|Pending
9929|1352|9|77|47|2|93133.09|Pending
73626|1562|11|89|9|2|147317.55|Rejected
14105|758|42|65|18|2|186319.57|Approved
76550|738|21|72|14|1|449693.59|Rejected
57078|358|34|32|9|3|355217.26|Rejected
54133|487|39|55|22|2|396463.37|Pending
63818|140|42|44|36|2|215868.18|Approved
5530|1521|44|83|33|3|358105.71|Pending
89060|1802|17|78|28|1|433571.71|Pending
91979|79|47|8|36|2|349929.17|Pending
14010|354|42|93|32|3|165715.27|Approved
4430|636|24|59|45|1|167892.33|Approved
80821|1285|36|6|3|3|365419.28|Pending
3568|929|1|46|6|1|205646.66|Rejected
82334|814|39|76|19|2|138891.95|Rejected
25903|624|10|4|23|3|177347.0|Approved
79449|758|2|60|4|1|286519.85|Approved
23553|1309|43|42|17|3|331413.34|Pending
25058|622|36|6|25|1|240684.56|Rejected
34135|1187|47|84|22|1|358273.78|Pending
84969|912|16|80|3|2|433175.47|Pending
46723|803|3|30|33|2|93889.51|Approved
52535|567|43|45|10|1|278549.07|Rejected
63699|168|12|76|34|2|202471.28|Pending
8681|1247|28|78|37|3|254642.35|Approved
33048|1648|2|95|48|3|40992.06|Pending
9418|1402|10|2|25|3|181874.09|Pending
41775|1557|32|42|13|1|291002.08|Rejected
67140|1798|39|12|26|2|162018.39|Pending
94209|48|36|50|8|3|297708.42|Pending
65539|840|35|95|2|2|296488.88|Rejected
32811|1247|38|84|39|2|200585.55|Pending
67513|4|24|32|18|3|333704.55|Rejected
35263|1572|44|45|41|2|98465.57|Pending
44125|313|28|74|5|2|295115.61|Pending
96512|604|29|94|50|2|399157.57|Approved
17521|1095|25|18|38|2|27237.35|Pending
14423|477|1|10|23|2|41197.96|Rejected
52239|354|27|78|43|3|112608.49|Approved
23588|1654|49|20|41|1|66377.6|Rejected
52924|1784|16|40|18|1|392303.99|Pending
20412|452|30|46|10|1|85019.28|Rejected
76889|973|45|30|37|3|457046.69|Pending
87129|1442|24|4|10|3|192804.97|Pending
56688|1181|26|24|34|2|70021.94|Pending
1719|692|14|33|48|1|360316.36|Pending
56730|1116|35|2|34|1|438081.78|Approved
55315|1156|3|12|32|3|147358.3|Approved
65461|13|42|58|30|1|472966.99|Approved
4886|1462|48|89|2|1|318170.29|Rejected
75163|1570|24|13|45|3|218413.62|Rejected
74224|1579|12|9|7|2|452250.72|Pending
76405|1817|6|91|5|2|8826.58|Approved
85554|169|19|17|32|3|394269.03|Approved
7423|893|43|50|22|2|169580.78|Approved
58622|1558|49|45|11|2|66972.13|Approved
85514|1745|39|71|43|2|32933.11|Approved
25268|1367|44|56|5|2|401267.37|Pending
91838|987|45|75|22|2|378557.39|Rejected
64217|56|45|36|34|3|137999.3|Approved
25440|137|16|45|15|2|157361.94|Pending
94366|1617|16|33|15|3|20130.06|Pending
65696|127|14|98|5|3|452196.0|Pending
45554|1421|6|46|10|1|127170.88|Rejected
14412|1121|49|32|31|3|376191.06|Rejected
81993|719|23|54|36|1|215945.51|Approved
86973|320|10|87|43|3|442455.34|Rejected
61655|1713|32|71|30|3|70410.24|Pending
84529|6|6|87|31|3|265362.88|Pending
97795|571|46|99|27|2|305488.64|Approved
86764|1609|30|44|31|3|134972.4|Approved
78377|1279|27|61|41|3|154281.39|Pending
1835|1254|7|89|27|1|235737.16|Approved
46566|1524|17|30|27|3|90258.16|Pending
67451|361|2|38|19|1|38976.95|Pending
79138|1552|27|86|48|1|319059.58|Pending
76190|1067|8|9|27|2|494994.05|Approved
38366|1657|15|26|49|1|344444.9|Approved
89141|1161|31|35|7|2|422064.54|Approved
21612|501|47|75|3|2|59321.9|Pending
19899|758|43|88|25|1|288220.16|Approved
86125|198|21|26|35|3|424394.45|Pending
33068|317|19|68|13|3|231170.17|Rejected
61332|1507|49|4|49|2|67882.79|Approved
2140|756|34|67|9|3|76096.45|Approved
58125|1654|41|19|38|3|396945.54|Approved
67674|466|30|8|30|3|132939.06|Pending
68697|1354|2|46|17|2|390333.82|Approved
88088|14|35|41|12|2|48782.41|Rejected
13378|81|38|8|4|3|32265.72|Approved
93507|1476|9|60|23|1|221236.04|Rejected
86982|1814|25|34|38|3|464793.86|Approved
81050|265|20|79|40|2|400660.93|Rejected
69728|972|47|34|25|2|110261.53|Approved
62043|513|12|2|22|2|95854.15|Rejected
91901|1616|16|50|36|2|95799.13|Approved
22574|166|38|5|33|2|177227.61|Approved
69022|12|38|36|33|2|99113.97|Pending
94213|1529|23|8|50|2|187064.63|Approved
75902|1144|34|32|42|1|393091.88|Rejected
85501|1003|38|64|1|1|135525.26|Pending
82073|478|34|6|34|3|78833.64|Rejected
60489|497|30|20|35|2|423664.01|Approved
40128|291|36|19|19|1|103239.58|Approved
9672|1672|32|57|34|1|7767.93|Pending
61133|746|24|57|22|2|362858.08|Rejected
5265|804|37|22|8|2|378166.52|Pending
95728|951|27|49|11|3|155630.31|Rejected
89607|357|38|45|4|3|390377.68|Approved
25099|785|46|11|4|2|248266.23|Approved
88772|149|3|14|45|3|126307.35|Approved
33871|734|8|50|40|1|205623.47|Rejected
85801|1286|8|36|31|3|489434.57|Rejected
84121|689|9|49|3|1|104392.13|Approved
80784|1165|17|60|6|1|58208.12|Rejected
98921|1556|43|26|11|2|102008.47|Approved
23298|1421|29|97|10|2|367509.7|Pending
47211|102|28|27|38|1|461050.05|Rejected
95857|1765|14|77|49|2|462213.53|Approved
76151|1476|40|96|7|2|210418.26|Approved
55185|1004|7|74|14|3|344762.88|Pending
74111|751|28|69|9|1|473150.55|Approved
12714|880|47|54|22|3|405893.12|Pending
64057|1077|29|33|11|2|73622.94|Approved
36900|355|28|4|30|1|209697.05|Pending
75648|295|7|41|21|1|171270.2|Approved
38417|1517|1|22|21|2|226484.93|Rejected
36544|1532|36|58|11|1|51587.16|Approved
30437|1630|31|19|12|1|435961.67|Approved
71439|1079|15|3|37|2|26991.99|Pending
62825|597|39|30|9|1|412105.92|Pending
83553|976|25|87|3|1|96887.07|Rejected
89888|1344|47|49|4|2|326008.19|Pending
44498|1314|4|48|28|2|47863.15|Pending
89528|1763|10|63|36|2|235934.85|Pending
80225|1039|7|26|49|2|258831.97|Pending
85649|479|41|44|4|1|477600.42|Approved
29043|801|11|46|16|1|46571.28|Approved
75334|426|10|84|10|2|30658.34|Rejected
76514|1355|14|35|41|2|484959.24|Approved
71935|1456|38|54|12|2|432324.1|Approved
49323|94|3|29|13|2|48461.58|Pending
67818|400|41|81|2|1|203262.11|Pending
96184|1616|14|63|49|1|249738.62|Rejected
25092|862|30|23|48|1|410253.57|Rejected
77023|1209|20|2|47|3|250964.79|Pending
38703|1065|49|21|7|2|154009.02|Rejected
56501|1694|44|100|14|2|443809.51|Approved
78204|1268|4|4|6|2|475935.46|Approved
46518|1725|24|40|22|1|330455.16|Pending
38738|555|35|90|40|1|474665.48|Rejected
94388|1306|13|99|18|2|141039.76|Pending
17396|1611|18|12|7|3|326378.06|Approved
95581|686|6|56|24|3|73072.1|Pending
38741|436|47|80|28|2|278189.07|Pending
93512|1341|24|41|28|1|45248.5|Approved
72987|169|22|32|3|2|477860.46|Pending
26047|380|13|48|10|1|211139.57|Pending
33297|462|4|64|7|3|464810.24|Rejected
83913|804|7|80|13|3|130937.61|Approved
13880|44|7|4|23|1|156192.36|Rejected
81217|513|15|21|16|2|348278.02|Pending
26938|1290|6|41|31|2|169100.0|Rejected
86456|1326|16|95|44|1|92466.71|Pending
99189|1036|37|90|35|2|51968.25|Approved
93350|1649|35|85|11|3|466188.65|Rejected
96994|763|44|4|39|1|473638.86|Rejected
94440|1619|33|55|46|2|292343.51|Pending
67587|1612|5|64|37|1|79328.07|Rejected
97702|1124|18|39|43|1|432013.1|Pending
71191|1457|14|11|35|2|139190.17|Approved
94820|909|34|22|23|3|118839.73|Approved
78275|753|23|88|37|2|223998.62|Pending
49682|986|42|18|30|2|343355.56|Pending
97012|937|43|34|48|1|336947.63|Rejected
30088|1698|14|6|32|2|479402.98|Pending
5984|919|8|24|41|2|284495.79|Rejected
42946|1541|15|56|14|2|386218.66|Rejected
5288|1076|5|40|27|3|425284.88|Approved
6192|1719|42|99|27|3|223860.62|Rejected
43426|1594|7|7|47|1|174673.26|Pending
88063|1517|50|11|12|3|5801.15|Rejected
3152|197|50|42|49|1|324733.98|Approved
31064|438|48|26|34|1|27245.14|Pending
83903|1819|14|32|37|3|323872.46|Approved
36807|1700|49|92|48|2|220639.8|Approved
96923|1688|26|63|37|2|433885.45|Approved
32828|176|19|88|48|1|342251.91|Approved
98389|1255|50|36|25|3|10561.14|Approved
85806|895|46|17|11|1|366204.83|Pending
74263|958|43|93|6|2|179853.98|Rejected
325|845|46|6|23|1|387753.19|Pending
72918|530|39|66|38|1|391653.44|Rejected
54225|1376|32|15|21|2|493290.43|Approved
14965|277|40|11|36|3|303306.7|Approved
28499|1165|7|7|19|3|170186.11|Approved
12587|1443|23|17|3|2|129764.95|Pending
80360|1552|20|87|18|1|46175.09|Rejected
81774|998|21|15|40|2|262100.45|Rejected
12794|433|27|96|9|1|459705.79|Rejected
68380|814|34|3|26|2|314122.26|Pending
3865|1576|8|22|28|1|70143.08|Pending
46892|615|34|3|21|2|185228.6|Approved
35882|522|18|8|44|1|353518.76|Approved
68843|1410|50|63|19|3|290215.87|Rejected
88508|408|27|22|28|3|292453.91|Pending
8388|190|16|54|44|2|399577.17|Pending
4179|836|27|62|21|1|287820.93|Approved
16824|1326|36|61|16|1|162499.93|Rejected
82192|932|14|58|39|2|83223.59|Pending
77384|673|49|10|16|3|438461.15|Rejected
44078|354|32|85|50|1|357291.76|Rejected
54046|43|21|52|16|1|233340.55|Approved
45023|917|27|32|10|2|439815.82|Approved
55452|1633|39|11|33|2|199005.4|Rejected
229|369|7|97|27|3|497345.29|Pending
77720|722|29|59|6|1|452722.32|Rejected
94939|873|8|58|9|1|352577.38|Pending
96026|1270|19|78|7|2|447822.79|Approved
43076|1345|3|10|39|1|301294.76|Pending
76275|240|15|36|8|3|15179.62|Rejected
88400|982|6|5|46|3|204437.29|Approved
63693|1381|35|76|33|1|497809.08|Approved
3522|624|34|95|33|1|223326.07|Rejected
7392|281|31|47|22|2|396345.39|Rejected
630|706|38|46|14|1|427868.53|Rejected
39299|1244|22|7|32|2|172149.0|Approved
28359|568|42|34|30|2|101362.05|Rejected
19915|398|2|69|4|2|268841.04|Pending
65565|1678|17|96|17|2|290381.81|Pending
2410|861|3|63|32|2|428247.48|Rejected
17475|1197|48|5|3|2|308821.1|Pending
23821|132|39|26|47|1|438214.21|Pending
80042|447|38|42|27|3|351329.39|Rejected
33656|1632|44|21|37|1|73700.82|Pending
468|780|34|20|41|1|359430.59|Approved
13923|219|37|71|28|1|63954.82|Rejected
8394|1231|31|29|32|3|134358.75|Pending
33211|234|39|9|17|2|301122.83|Pending
18361|1060|4|13|42|2|119004.05|Pending
64215|1622|7|9|40|3|466796.02|Pending
24015|1817|36|58|28|2|32764.97|Approved
74509|909|32|26|6|1|135355.07|Rejected
20284|453|13|59|49|1|446240.85|Pending
42562|1646|39|3|38|1|181929.07|Rejected
98090|1447|33|82|23|2|77717.07|Rejected
45782|218|21|40|10|3|292487.69|Approved
30878|1068|8|6|41|3|381098.98|Pending
38990|28|3|4|32|3|13577.46|Pending
92742|931|36|73|12|1|250783.68|Pending
14060|259|18|55|25|2|196955.87|Approved
68343|518|23|42|36|1|106141.24|Rejected
38266|1154|24|36|41|2|196953.38|Pending
37891|207|11|82|33|2|408623.69|Pending
98453|786|43|33|28|2|217288.77|Rejected
62256|1519|25|3|30|3|270195.87|Approved
44850|741|16|88|50|2|477934.85|Approved
33430|739|9|4|12|1|93771.15|Approved
94234|222|35|34|43|3|224854.77|Approved
8773|597|32|56|49|1|334005.91|Pending
5090|1227|26|80|13|2|111193.86|Approved
36691|1418|21|27|37|1|487511.43|Approved
48295|1281|23|54|33|2|13831.34|Rejected
22395|1371|16|75|45|3|281922.64|Rejected
84518|1671|23|85|44|3|76456.39|Pending
48533|1456|1|11|23|3|388855.82|Approved
55359|1560|42|2|10|1|210683.83|Pending
95718|144|20|80|49|1|297830.54|Pending
37946|639|14|44|30|3|476728.61|Approved
67922|1674|42|71|17|1|411469.69|Approved
35832|1734|28|14|29|1|170665.57|Pending
27310|1121|16|3|45|3|296808.97|Approved
22662|1733|11|69|27|3|221228.76|Pending
39150|1264|47|70|28|3|316224.48|Approved
75369|349|34|69|16|3|204812.06|Pending
84493|700|25|59|34|3|381242.49|Approved
10613|693|20|36|16|1|270910.61|Pending
20007|838|23|59|9|2|218465.17|Rejected
32513|116|33|81|24|1|253810.67|Approved
36667|755|49|36|1|3|330552.56|Pending
35300|1689|14|30|2|1|290952.84|Pending
69016|1547|43|79|9|3|278734.55|Approved
97554|1805|14|90|7|2|460116.16|Rejected
6665|290|23|83|41|1|27881.45|Approved
41474|1780|6|49|15|3|383234.49|Pending
70991|1051|41|27|37|2|47336.63|Approved
1166|1523|11|65|28|1|103709.24|Rejected
17940|1695|12|74|7|3|202170.86|Pending
1813|912|30|87|9|2|163056.8|Rejected
9906|864|21|62|49|1|192505.0|Approved
62846|667|10|29|6|1|112751.13|Approved
17974|877|7|22|6|2|44113.03|Approved
62634|14|35|27|14|2|225646.33|Pending
7719|1595|8|77|47|2|72392.29|Pending
19031|1724|18|94|15|1|444318.44|Rejected
48304|620|20|6|6|3|268883.97|Pending
32400|158|44|15|17|1|121328.65|Rejected
74801|255|39|33|25|1|345567.34|Pending
97666|1672|1|69|44|3|441372.72|Rejected
84928|278|36|7|50|3|383508.86|Rejected
68078|1252|31|74|41|1|160431.59|Pending
16968|791|26|88|47|2|161892.14|Approved
58547|114|18|49|44|1|284453.01|Pending
45287|650|2|10|21|2|435573.09|Approved
4216|952|44|94|32|2|105134.06|Approved
8139|1127|23|99|27|1|334719.65|Approved
78977|556|38|97|36|1|140850.92|Rejected
38361|385|47|33|43|1|470658.27|Rejected
61949|1082|23|82|35|3|30138.67|Pending
20996|1234|48|19|44|1|106772.59|Pending
80952|1309|29|98|27|2|184606.26|Approved
89933|705|15|98|27|2|247400.03|Pending
88346|80|50|83|34|2|243851.34|Approved
54134|1691|8|48|9|2|55838.26|Rejected
86272|199|47|34|40|3|448510.07|Pending
63737|327|37|22|50|1|487229.73|Rejected
10514|291|12|41|4|3|96675.42|Pending
93781|197|42|37|22|3|413031.24|Rejected
54960|861|23|33|43|2|459344.65|Pending
49891|724|20|20|7|1|449773.28|Rejected
80250|113|9|95|30|3|297459.24|Approved
34808|1583|28|31|28|2|93944.36|Rejected
19145|1468|12|12|49|3|200507.96|Pending
97384|1681|18|92|36|3|381101.96|Rejected
91863|688|32|3|6|3|88177.6|Pending
67085|1114|3|17|22|1|347695.96|Approved
92705|642|12|37|1|3|376412.69|Approved
48549|988|9|11|30|2|292511.01|Rejected
69713|698|42|97|50|1|260698.39|Pending
58876|323|47|61|26|1|50401.99|Approved
89202|1614|8|14|23|1|465598.44|Approved
1482|640|37|77|3|3|225145.27|Rejected
19334|1226|13|56|32|2|24094.17|Approved
52886|944|39|51|30|2|267525.75|Approved
72091|107|10|38|44|2|158677.7|Approved
11623|1692|28|5|10|1|229362.67|Pending
52056|1224|5|94|40|3|338091.15|Rejected
89331|689|2|61|31|2|384169.6|Rejected
11922|231|17|9|26|2|115631.03|Approved
5689|159|19|3|4|1|120582.74|Rejected
120|927|27|50|17|3|329831.77|Pending
23969|638|12|24|2|3|185460.48|Approved
44750|41|23|50|20|1|343929.29|Pending
27874|301|48|6|14|3|261214.71|Rejected
36903|520|12|34|34|3|18074.44|Pending
23360|110|44|93|5|1|314610.45|Approved
97832|1500|15|29|35|2|48447.83|Approved
23690|1108|40|19|29|2|363113.23|Approved
5939|94|44|55|8|3|108475.72|Approved
71459|1227|38|88|46|3|270050.84|Rejected
63953|642|21|55|41|2|155742.71|Approved
26136|823|30|6|26|2|488867.37|Pending
29715|1413|35|38|9|1|248841.04|Approved
14154|324|44|74|32|2|404482.94|Pending
72552|1751|3|97|11|2|464170.18|Approved
80763|1203|35|76|8|1|258848.9|Approved
92698|287|47|54|48|2|225976.44|Pending
1812|469|6|72|25|1|203356.18|Approved
76037|1076|6|95|3|1|421907.56|Pending
24236|1226|28|52|9|3|264136.68|Rejected
21813|704|43|66|1|2|292725.24|Pending
94329|1173|43|25|15|3|388095.64|Approved
77314|1608|9|1|29|2|224851.76|Approved
19939|261|20|93|9|2|141413.83|Approved
99002|1308|2|39|31|2|208783.48|Pending
6118|344|27|39|2|3|336661.67|Rejected
10392|868|23|64|9|2|448221.49|Approved
35029|1385|18|1|22|3|262630.11|Approved
99170|863|48|97|3|3|435323.25|Approved
22042|863|36|36|23|1|197066.96|Approved
44038|1672|22|70|7|2|218454.98|Approved
29296|1159|12|97|40|2|499085.27|Rejected
37147|305|9|49|18|3|165133.55|Pending
69006|1565|34|77|17|2|187364.1|Rejected
75906|1419|22|3|50|1|461058.09|Pending
95177|376|1|31|16|3|439832.29|Approved
34311|1440|21|71|38|1|53266.95|Rejected
28450|317|36|35|35|3|109266.23|Pending
70568|1362|24|13|1|3|209769.54|Pending
77206|882|50|21|16|3|268469.33|Approved
14774|526|14|68|40|2|343086.88|Rejected
34983|234|4|8|26|3|409999.11|Rejected
48383|943|7|12|50|3|197720.95|Rejected
86225|836|27|37|49|1|399724.9|Pending
55642|195|11|20|19|1|108228.41|Rejected
23334|866|31|10|36|2|151192.02|Approved
85627|1542|13|1|25|3|122850.56|Pending
97751|1141|50|65|28|1|332415.03|Approved
30113|1303|40|46|32|3|19338.52|Rejected
98987|74|11|75|48|3|455268.12|Pending
81686|1510|46|86|45|3|469342.74|Approved
4908|113|7|32|6|1|307917.43|Rejected
55989|1252|24|75|23|1|92132.18|Pending
20395|620|23|63|1|2|234938.79|Rejected
40283|172|50|21|41|2|323238.4|Rejected
81816|651|6|91|46|1|266247.21|Rejected
49803|1051|3|27|22|2|11420.59|Rejected
33539|12|27|29|41|2|485671.25|Pending
12006|1433|35|32|44|3|249297.16|Rejected
95901|1576|44|25|36|3|436922.5|Pending
42604|1081|16|56|16|1|463230.32|Pending
90566|700|31|94|1|2|250750.22|Pending
633|1340|14|3|8|2|349544.95|Pending
6516|847|6|70|31|1|194408.41|Approved
90792|882|16|89|28|2|276129.94|Rejected
9914|335|8|34|6|2|183179.04|Pending
49560|119|11|14|42|2|45533.99|Rejected
9676|1778|29|34|49|1|218945.88|Rejected
70232|512|30|94|22|3|434926.93|Rejected
15672|497|42|21|40|1|200662.99|Pending
26725|1719|6|75|13|1|431211.01|Approved
4372|799|38|81|2|2|415448.31|Rejected
27663|857|46|16|10|3|490116.21|Rejected
24982|1345|48|9|29|3|109430.91|Pending
7907|743|45|44|6|2|148316.92|Pending
13452|536|9|36|18|1|496688.81|Rejected
10417|651|3|39|16|3|122656.58|Rejected
58529|1109|42|43|49|1|185189.11|Pending
5020|64|47|15|25|3|126820.52|Approved
77737|1527|7|8|1|2|281063.19|Pending
52583|1099|24|6|17|3|93628.36|Approved
36401|1189|47|30|19|3|497915.37|Approved
61231|996|5|47|22|3|7233.03|Rejected
978|993|19|99|44|3|248569.65|Approved
7166|405|24|65|3|3|195079.0|Approved
53432|604|8|43|8|2|316181.2|Rejected
62602|1316|26|74|21|1|192211.86|Rejected
50869|1332|22|15|19|2|215801.39|Pending
42454|1297|39|60|17|3|410754.61|Pending
22289|936|16|66|2|1|86484.14|Rejected
12537|1146|10|88|6|3|446507.29|Approved
17773|746|12|16|44|2|428367.22|Rejected
4893|183|36|47|28|1|492166.43|Approved
44476|449|6|88|41|3|87068.79|Pending
33395|635|34|69|40|3|318485.45|Pending
49366|465|6|92|36|2|429431.25|Rejected
83025|1331|11|76|18|3|138192.17|Pending
55327|1221|42|98|11|2|495094.47|Approved
93601|104|6|67|7|3|63199.03|Pending
55774|1736|5|53|36|1|428349.05|Pending
20588|758|40|20|31|1|49291.43|Approved
89163|433|34|33|20|2|237615.45|Pending
22385|1068|20|64|25|1|347426.88|Approved
66078|696|37|20|45|3|384004.17|Pending
58939|874|30|61|47|2|352619.05|Rejected
43740|1805|27|46|26|2|490413.07|Pending
65093|24|38|65|5|3|21611.02|Approved
68931|65|40|41|29|1|25644.07|Approved
4462|661|50|49|38|3|417247.71|Rejected
64536|1566|4|95|4|1|113798.46|Pending
93265|1786|22|18|29|2|300299.46|Approved
93008|1135|2|78|46|2|409417.81|Rejected
38189|1687|9|24|22|1|225118.87|Pending
42351|1610|14|55|16|1|213198.48|Rejected
83734|847|38|61|5|1|401473.48|Approved
83079|1039|4|16|17|1|445630.05|Rejected
54033|568|43|14|16|3|337175.54|Rejected
54376|31|47|16|9|2|121889.58|Pending
91455|1328|34|96|19|2|494533.01|Pending
21278|1356|2|41|27|1|474584.92|Rejected
18545|101|46|71|30|1|42756.48|Rejected
18370|771|43|18|38|2|145793.66|Pending
17619|1718|44|43|37|3|14383.47|Approved
52243|840|27|9|15|1|499994.62|Rejected
80444|876|23|39|42|2|480626.73|Approved
12374|634|8|20|14|3|151131.37|Approved
35951|5|40|84|20|3|477840.69|Pending
80949|1355|48|85|27|3|251774.8|Pending
69334|904|24|37|8|2|282941.02|Rejected
