balance_id|date_id|account_id|currency_id|opening_balance|closing_balance|average_balance
51766|679|48|1|92615.76|184129.45|185895.935
25136|594|65|2|846988.88|526188.3|366382.42
68553|1576|7|2|108077.62|976965.85|618799.27
14632|690|53|1|578908.14|616694.12|454951.99
73321|914|95|3|971827.56|539094.59|238957.62
88197|1313|81|3|574745.0|607183.29|498816.745
68309|1524|36|1|126601.78|882232.79|209736.905
39895|841|27|2|820774.64|924711.11|65202.07
90311|1146|50|3|812840.4|387983.47|402674.915
11342|289|34|1|115564.48|601542.01|697400.265
23867|1728|77|2|284291.1|247640.13|600825.995
21800|1607|72|2|368372.92|726676.16|356181.17
71528|1079|96|2|522927.53|458650.94|489761.755
53249|1537|33|3|814568.39|874870.85|494315.735
21228|1384|61|1|735250.95|306002.38|498210.525
44068|1757|22|2|404521.35|454102.02|578353.565
79641|1747|70|3|144530.55|769919.26|251855.09
95130|68|28|2|266531.32|353633.64|30455.105
64795|490|19|2|28354.0|368432.8|369841.695
46482|374|10|3|108745.7|660484.73|853753.09
95890|1509|83|3|748653.52|769198.87|652401.705
94878|1772|80|2|170192.71|95165.31|740987.5
18755|1586|4|2|767199.55|879336.19|474378.375
66037|1268|20|3|721938.98|715025.61|484162.36
73073|1825|89|2|729280.55|787423.56|712810.045
64790|1050|62|1|842886.04|414131.93|430208.09
8772|1190|68|1|101671.28|413852.88|348132.805
52603|1327|74|2|846957.32|801495.85|423198.175
37137|1288|47|2|834203.76|813536.32|760427.26
58802|1057|4|3|14624.68|243121.2|655895.34
12448|796|97|2|713578.34|978411.68|322233.545
32067|1072|71|2|390387.58|403982.51|558248.715
18920|1781|90|3|42893.54|5500.44|563059.81
73085|1129|20|1|559618.05|313814.13|403412.67
96908|322|85|2|745792.98|482351.55|595808.365
95595|758|52|2|791247.49|770263.95|527329.41
52228|1697|69|1|744491.86|934510.87|267395.735
50103|460|56|1|218102.92|865984.76|285621.8
85061|435|45|1|360312.49|923934.34|792840.115
30290|1506|59|3|641152.99|162316.11|563937.525
8460|845|84|2|646637.31|837775.81|514548.93
18570|1051|31|1|333696.49|679249.25|372486.18
32538|1327|21|1|124526.56|336346.65|345518.69
85781|1554|34|3|911324.97|86714.01|271752.605
10233|652|79|3|788916.99|874470.49|341970.335
33301|1110|15|3|647262.97|290465.02|774400.775
12431|288|62|3|939721.07|709492.46|417634.165
90251|1458|37|1|617270.66|486690.26|510849.735
95114|562|89|1|233210.34|162449.47|951796.53
40052|1731|36|1|548179.49|729719.83|762979.775
10267|894|98|3|844414.41|291234.78|593247.965
91361|1625|15|3|781710.97|428876.06|580593.505
64727|489|65|3|424415.23|214808.1|482722.46
53894|1281|17|3|288551.78|98857.21|258438.105
60312|22|5|2|524212.65|584805.48|579563.955
23832|36|64|2|794250.62|996431.17|329956.38
4269|800|36|3|365495.37|230939.42|164081.915
18590|212|54|1|148502.76|325461.64|301532.74
63940|1185|42|3|321340.66|107246.97|400464.505
27579|1697|60|2|144045.96|973006.35|540893.13
7022|1081|56|3|344922.68|37311.14|469748.535
34521|1701|75|1|336549.2|57046.41|621236.155
89266|259|54|2|234804.33|470110.25|575838.755
47849|1114|39|1|793995.31|492857.26|325901.535
61266|410|23|2|426795.24|167052.1|405279.09
67983|1510|19|3|74580.1|367350.63|442895.5
57126|675|20|2|600588.4|707098.63|598081.855
67973|1083|69|3|510498.24|312367.14|29301.855
62649|1215|32|3|569740.67|322831.24|89263.525
30838|1279|60|3|97959.85|730060.19|786026.35
83375|1427|100|2|437954.44|250637.62|316292.91
92847|323|7|1|456316.11|457233.8|288663.1
81102|920|41|1|610131.86|47333.75|611290.05
55999|108|76|3|319700.05|277645.43|445800.845
23454|901|70|3|529903.69|768540.44|242742.11
50234|556|11|1|334739.74|279694.16|505281.245
20656|374|54|1|573219.74|831154.87|484070.075
7086|864|92|1|100556.97|962788.78|417478.885
64030|1801|92|1|229384.94|81562.25|603215.12
33408|5|49|2|928047.66|55378.6|521590.7
57206|1019|23|1|289831.21|886420.14|686881.905
68262|213|89|1|707193.34|284019.38|835671.01
92615|1536|44|1|106801.31|40066.41|531525.85
79389|570|9|3|132757.31|108187.53|526814.95
94350|914|17|2|438521.01|44943.53|560133.345
95942|475|15|1|974101.05|460643.55|207612.92
24078|1232|38|2|672389.66|972673.91|851325.04
37031|1512|47|2|155230.51|606649.23|100673.955
9892|657|42|1|519281.05|204211.05|257084.3
17019|1115|11|3|202832.92|998727.46|838581.55
66239|245|15|3|446151.36|594313.06|723836.93
66073|1423|100|3|771461.28|467934.38|457134.09
52550|262|23|1|977305.74|712212.39|552434.31
3635|970|64|2|668670.49|462210.56|713893.88
63778|1381|56|2|924872.34|980940.75|570403.74
44531|1816|69|1|952262.51|506184.81|516782.775
86443|128|74|1|132601.09|230737.57|93975.3
22287|673|82|2|613898.71|210858.31|598351.425
60198|1786|27|2|867438.11|990396.94|752218.59
60372|1134|66|2|850308.01|818598.53|302908.2
3967|3|77|3|956197.18|124338.03|867694.52
67514|474|3|1|6814.92|708767.94|643462.12
99448|918|63|2|57966.34|157559.34|444677.885
280|1552|99|2|616198.32|475439.65|475896.48
79432|369|53|3|602270.95|735648.68|92286.835
62615|1605|79|2|972325.67|504019.65|468170.3
29722|677|71|2|50918.52|939945.95|592454.405
50461|1060|25|2|929066.47|992922.95|549545.79
12520|1545|52|3|763708.5|791562.13|279906.325
80502|882|34|1|333655.52|510915.59|893915.485
85814|180|10|1|660935.65|689059.0|518316.695
43708|527|58|2|526405.09|654918.99|661464.56
32703|1390|34|3|844583.74|702538.65|432571.905
47928|1393|49|1|660319.92|914944.52|479056.245
78898|145|11|2|705041.06|478377.51|764991.63
73183|1141|89|2|782948.54|131835.52|216309.595
36630|71|93|3|406980.52|920105.69|599160.26
71061|559|52|3|579969.31|944448.42|565155.68
43881|805|68|1|780204.24|796190.4|517889.335
16050|262|15|3|649975.88|912076.09|370104.94
30454|727|6|1|742994.38|921669.88|737674.555
60284|1318|50|1|447233.03|400312.12|738518.735
53510|426|4|3|222421.52|327270.31|195768.855
22852|1416|47|3|697750.34|625107.84|644517.215
80336|483|48|3|953469.45|986067.17|248860.69
27485|1697|86|3|240780.81|873535.24|740262.915
54543|1445|53|1|252819.82|9986.25|251646.79
28772|443|19|2|619860.06|537771.17|910709.02
47697|1115|75|1|3193.31|359069.29|621757.22
51699|1263|61|2|849388.82|421128.26|385790.685
78971|1217|36|2|561112.48|608125.99|585590.745
22335|1401|79|2|670126.61|126347.06|100313.37
46375|132|50|2|13621.39|554152.26|167201.4
46034|240|41|2|976904.88|385534.59|449816.035
93070|347|92|1|674401.15|436400.6|485639.955
52022|1561|75|3|819731.87|571328.19|498190.92
90732|1713|51|3|234165.62|130595.09|502692.525
15482|6|55|1|343853.17|930252.77|626190.725
64986|1125|46|1|395700.33|583378.89|115797.425
11302|1734|78|3|261033.67|572438.79|389683.105
12636|672|82|2|564087.6|235428.03|418022.435
29651|1448|67|2|608294.82|351145.66|760902.39
2281|965|38|3|543961.0|276839.07|660047.34
72407|1279|3|3|199892.81|112286.87|838190.41
66621|42|23|2|145731.31|15339.38|292985.335
85428|80|76|1|38998.35|26146.45|509588.83
63897|1363|58|1|742665.78|999421.65|853083.045
82363|1400|5|2|205957.16|916933.57|399102.22
63368|1343|91|3|769295.17|951050.86|810104.13
32278|625|9|3|277757.16|608258.04|379959.975
72930|418|26|1|137906.77|911305.37|287021.745
6287|622|89|2|748478.84|303793.75|380650.035
89283|650|92|3|651266.56|618669.03|599220.75
1424|792|48|2|837731.52|807577.55|229265.03
24008|1645|94|3|760311.25|289090.53|422266.435
76335|114|93|1|142394.69|831940.36|678145.53
26222|1653|56|3|591930.1|805715.26|680796.695
91645|375|8|1|873987.74|632736.96|708198.38
53210|1374|2|3|755640.84|294516.48|540600.63
6787|1827|13|1|883539.58|529669.73|151078.175
81090|616|90|2|738665.93|531715.2|159400.04
90744|1070|66|3|942960.88|272914.45|601379.88
80125|898|51|1|665141.4|61445.05|650853.38
5004|1296|42|2|165409.29|948617.75|94406.79
55538|1047|94|1|683561.26|812631.71|729245.95
36547|1396|24|2|382935.49|579779.2|636923.61
6044|1572|41|2|243203.79|640425.06|575502.955
7270|1456|29|3|373782.22|250911.92|716048.63
68404|1366|37|3|305530.18|934055.97|494966.32
58995|1742|93|2|735853.63|684885.08|229034.015
94223|1786|20|3|59394.38|367425.44|463478.53
53928|1358|49|2|893987.44|98693.93|345973.89
31095|1782|99|2|205586.75|560788.26|334521.28
34253|1827|50|1|255043.46|445782.9|776310.835
15209|1531|87|3|747466.53|466556.78|894745.345
17391|793|48|2|222113.73|960034.63|268487.96
58648|678|70|2|993160.16|29325.94|553291.56
55893|131|61|3|160213.5|966687.86|869023.055
17313|985|20|2|44912.65|178695.52|186754.795
44541|432|6|3|608025.33|420132.68|283035.74
811|754|71|1|310619.95|126570.67|169627.205
82062|365|40|3|325630.6|272772.5|124529.835
16004|1056|73|1|871954.76|252833.84|176972.455
51183|1455|74|2|108370.16|667937.71|514413.255
38489|1603|14|1|680048.14|948354.51|533905.895
52771|1270|18|2|372279.83|856137.53|113989.325
93854|953|63|2|435948.8|523934.44|540255.445
91679|683|72|1|786970.0|58373.2|531036.015
57343|725|20|2|322430.63|78800.47|251843.055
22184|1367|69|3|453001.63|371730.7|508471.325
81714|688|29|2|201860.67|262946.91|402946.05
14588|688|11|3|380993.71|181663.07|652074.84
62812|210|87|2|648834.85|542062.73|670120.81
13601|1361|40|3|216373.22|931264.61|329265.045
71938|79|49|3|420017.76|548704.47|215992.94
30790|1691|10|3|391444.67|768080.97|865768.225
75407|1052|42|3|918035.64|597188.29|763731.545
46055|1572|44|3|85106.81|320788.68|412685.88
78328|1387|39|3|883354.49|787048.57|724698.4
97876|1239|2|2|265146.65|203385.47|300882.775
3877|1343|3|2|210947.79|85225.7|145668.56
68780|386|71|2|384777.34|424779.37|807148.745
24839|322|9|2|569233.74|285507.25|565082.815
38628|469|69|1|836661.12|278099.89|861339.595
35953|181|52|2|645581.79|277565.58|477192.02
86771|574|46|3|156525.4|459120.81|157029.425
1760|1357|44|2|797220.35|822546.34|539513.14
33879|871|58|2|558941.43|208954.02|556594.26
9945|1091|63|1|602585.47|741828.66|667860.365
66079|1329|57|1|858184.63|584432.64|723045.35
94095|484|7|2|947681.85|603539.45|476913.5
98442|423|50|3|367467.47|588619.82|420485.32
56176|1697|42|2|896243.72|513974.2|656828.8
16453|239|92|3|174341.8|706859.26|514370.345
19297|241|36|1|197474.36|844307.75|494075.215
46621|869|36|2|246356.52|763207.6|459359.68
47546|226|54|2|728635.59|462240.47|448978.095
61824|371|67|2|510140.94|274452.69|513828.45
55078|382|24|3|33158.49|816823.58|753894.39
4324|641|23|3|326660.21|666985.67|408157.83
35196|305|28|1|292099.64|962976.32|558132.98
42018|650|96|3|853455.12|192943.18|348317.84
42188|699|5|1|170236.93|556415.73|836264.25
26706|923|76|1|359936.85|722860.83|345705.475
53046|1041|1|1|44050.81|816835.28|756977.965
15663|1554|57|1|911814.82|72921.72|394435.23
38108|770|16|1|887109.42|377322.7|988024.45
49090|1695|53|1|284824.28|740948.88|196279.005
85113|1518|34|1|560332.14|913633.32|447801.815
38163|397|87|3|274476.67|707776.94|615451.775
55106|1509|81|1|200040.97|157887.2|562308.135
72195|610|52|3|297651.48|250464.11|483400.06
74720|1752|87|1|964297.54|802630.6|802522.195
95449|999|4|1|155594.84|748007.94|293189.695
81734|297|11|1|878770.45|898246.39|734405.125
68297|1739|14|1|346883.61|651910.93|394371.57
29329|148|1|3|637747.45|701970.55|487650.085
13835|1654|44|2|679628.72|607328.71|623917.145
23975|997|64|1|241493.38|354260.63|537804.28
59354|1664|87|3|778138.93|290138.38|817636.405
97009|1814|18|1|589168.03|263845.04|314375.265
12268|732|47|1|620187.45|139490.25|532050.53
29120|674|12|1|137026.5|908301.77|749011.41
72676|266|71|3|843935.6|5266.25|551121.675
29335|1303|85|3|194484.86|175875.84|489909.965
40165|874|42|1|392845.56|224532.51|554285.75
50203|508|26|2|888067.99|290660.09|945969.615
11116|1535|47|3|490432.18|899746.71|60073.235
78683|1360|7|3|65766.19|464026.48|543962.62
27135|1353|4|3|561509.67|832031.67|417744.3
5373|1298|14|3|893610.63|905867.83|459539.89
49772|1057|74|1|663730.88|362280.42|314508.995
1385|405|59|3|736701.68|563786.93|429076.5
71283|1359|94|1|962553.23|92150.94|843098.46
75560|1663|59|1|481796.96|855973.43|417850.655
27723|673|46|1|7813.3|892081.99|701566.075
74999|1689|18|2|122173.92|291971.19|359106.805
26935|601|82|2|215615.66|298745.54|507431.76
95999|1109|6|3|859201.28|323419.29|759195.685
19383|1074|80|3|706867.58|401122.09|845192.255
54828|1775|92|3|636148.96|376464.13|111644.35
10180|749|42|3|207002.39|931023.37|346292.25
79229|1655|64|3|565424.95|225481.4|323306.965
61367|857|55|1|225944.48|267995.45|65514.88
22379|708|56|2|709202.25|742004.36|498360.335
15980|718|50|3|392790.73|293967.96|845361.575
54437|1532|51|1|574961.8|625479.74|721537.15
73814|744|68|2|59650.12|583875.92|432501.57
66030|1357|73|3|101757.86|371916.74|702832.145
24545|1128|58|3|96335.23|913820.54|570659.425
42867|209|43|2|462336.94|125400.42|592817.585
1335|615|38|3|852439.75|254583.15|611139.74
39380|234|55|1|425525.27|379176.16|530940.485
47733|489|99|1|533883.89|15499.09|543426.775
82919|1122|95|2|81831.79|331334.64|591402.85
63565|710|37|2|470027.27|640182.97|572744.93
28198|1809|1|2|1864.38|897628.44|505536.37
35341|1610|88|2|278786.69|490826.68|555868.965
54211|987|52|1|953225.87|916618.55|389708.75
34511|1491|99|1|110620.08|549724.58|558970.775
82580|1086|53|1|308619.2|684422.35|823558.555
83341|157|42|2|228622.28|629401.88|72667.465
24798|1497|60|1|344679.69|1228.21|929200.665
65770|1160|90|2|214367.66|422212.06|471938.935
65196|47|16|3|480049.79|877850.43|233227.775
37578|280|28|1|408920.32|798136.24|340247.515
78034|369|79|2|214611.42|573075.23|620223.675
63754|167|37|1|799188.19|83233.44|576105.575
43976|372|94|1|116338.18|91670.03|487920.68
69577|1294|64|2|807608.11|33027.71|636283.25
44298|1798|66|1|788029.52|264481.5|525290.11
81827|563|26|3|924210.73|432650.81|596219.225
55239|554|43|3|650172.65|673113.18|380947.2
40483|1181|16|1|779757.81|121816.32|395943.79
71495|1207|66|2|417489.96|845586.04|799293.975
19609|1423|74|3|519706.85|20457.93|518313.05
74824|1805|2|3|30810.74|673600.55|428903.635
25823|708|8|3|971449.46|587312.06|108563.96
29658|543|38|3|292564.08|646898.82|767539.855
7778|1041|25|2|967461.79|962005.44|342426.88
450|1040|49|1|522913.93|88717.0|300147.97
17272|1205|4|1|575088.61|869353.59|619203.935
53262|1718|90|1|773100.16|490734.76|817075.485
13882|550|37|2|814478.07|572953.08|831970.94
18576|571|92|1|366928.56|627548.52|397698.52
7975|1020|88|2|109199.25|461716.01|479237.07
51948|1366|23|1|356138.38|110541.24|376946.195
59196|666|11|3|352336.67|854861.19|711030.62
87023|1757|63|1|19097.79|295259.77|639461.45
24313|1627|5|3|312272.61|993500.68|917029.28
82622|1605|35|1|555177.11|244693.31|790070.115
35844|544|79|1|449254.29|163763.03|363316.56
46131|233|41|2|632701.18|949192.86|300932.125
49905|1503|30|1|390196.3|463093.36|407328.46
35540|867|38|1|22919.37|875019.51|128150.56
91627|980|66|3|317893.35|139776.84|470496.005
13591|1686|27|3|87451.44|95816.85|382273.755
70837|1467|31|2|129119.8|255461.42|728576.825
70194|1439|57|1|526555.02|759335.85|508849.255
42606|1126|97|1|814884.03|828477.82|35117.285
37948|1467|42|1|311631.42|219734.95|668893.43
74259|339|77|1|55124.41|850288.91|475201.135
14650|178|59|3|64021.18|77001.85|667926.665
1943|899|97|1|901550.29|144281.97|468586.565
75439|978|23|2|419770.2|494068.09|672542.24
92944|70|21|3|400644.52|413784.46|441833.67
5538|809|5|3|534355.81|291584.64|586228.69
60285|260|86|3|886037.14|871477.66|376800.51
233|230|91|1|634323.74|90475.31|429264.68
48045|1283|61|2|508264.08|493390.66|447039.84
82724|710|42|2|320922.91|792031.04|718996.16
37797|1395|2|2|783451.19|985603.68|425374.485
78281|1695|88|1|516168.21|39919.3|272928.045
28685|291|2|1|198877.84|543526.27|593893.545
40976|1345|49|3|774967.05|966288.85|412048.965
96607|508|77|2|923097.65|89035.41|541204.935
30163|319|35|1|810718.06|930687.65|493220.56
78999|188|4|2|471195.53|486060.23|613888.545
97059|570|32|2|334148.21|274118.73|365863.58
11068|993|24|1|539311.81|296729.26|821663.49
13775|126|92|2|562830.28|641629.44|847265.575
60735|761|86|1|566887.8|930031.85|542954.815
24090|1470|81|3|680867.44|702146.45|639295.035
21178|1737|73|2|114894.17|490837.77|357915.855
17512|1507|28|1|148651.11|587587.53|140640.48
38054|1414|90|2|506621.15|826356.54|806117.85
69294|1028|68|2|159336.55|203628.17|369247.21
28095|955|71|2|825679.79|891303.0|609126.83
67475|1365|71|3|81920.99|496446.84|932729.275
20903|1552|18|2|351981.52|680898.55|857270.97
25290|644|92|3|810746.54|230207.24|415820.415
17840|783|21|1|520955.51|390261.28|561090.445
58770|1768|44|1|555446.34|104120.78|175055.745
54022|1454|57|2|406220.83|517653.36|759137.42
397|749|1|1|445953.24|661706.71|262664.245
40797|61|81|2|892027.28|269173.14|729672.085
56970|555|95|2|895026.85|699972.66|541555.42
59700|1135|49|3|294168.42|440733.94|608964.4
78120|408|98|3|383328.93|908234.48|452206.255
87167|1111|5|2|911372.3|702231.79|452487.39
98818|1316|95|1|291654.2|890499.68|398875.91
38627|70|75|1|988638.01|124770.86|398822.72
33296|408|77|1|746952.93|28126.81|696355.11
20533|1103|26|1|954905.99|222885.07|563807.11
75933|385|72|2|277040.91|648784.51|754918.91
42436|926|42|2|885067.13|345970.9|428885.755
58828|1679|52|3|434392.3|523946.95|329877.125
23163|940|90|3|708210.21|914911.38|602813.185
11265|1293|71|3|567534.8|23239.88|956411.07
22693|650|68|1|147477.34|366675.83|286953.765
4798|373|42|3|375821.23|154730.7|463225.28
94441|752|67|3|69101.15|819437.28|281118.0
11770|1660|89|2|621093.67|654959.38|469958.015
90525|363|51|1|414064.71|452389.52|458044.76
86356|1112|75|1|138119.47|651181.11|685856.335
71487|1220|45|1|219624.66|872371.24|61683.995
73127|1601|35|1|941332.3|903808.07|178076.985
56416|993|7|1|564368.93|631090.11|490319.44
23507|1347|92|3|346943.05|425939.28|774572.57
79083|865|68|3|944603.51|81789.07|765392.28
94612|1236|3|3|745151.61|495816.43|349359.81
34040|1690|73|2|978456.12|653298.03|525693.655
52220|1270|74|1|18145.79|29889.64|691891.135
40543|110|33|3|531149.58|120597.97|572963.745
64387|157|3|3|983381.49|317795.55|298667.735
71553|1504|43|1|682842.97|521425.42|210577.86
15780|1099|12|3|66445.01|135778.62|272708.9
43943|1194|16|3|352736.65|409526.47|363340.14
38392|505|44|3|922986.75|411808.25|453855.535
12231|17|35|2|660072.61|549984.67|818369.765
50552|63|82|1|860666.37|532293.67|472139.965
72511|312|75|2|105304.86|867019.4|729403.855
7485|935|18|1|298471.27|133971.76|573222.85
31160|1448|92|3|322400.01|598593.66|397955.73
93567|1495|22|3|970262.63|408383.7|489758.78
24714|1659|33|1|197786.28|518349.47|780513.15
3138|1625|26|3|599322.01|411631.05|508435.515
83998|166|70|3|912304.32|51837.43|222934.885
19523|949|39|3|441642.76|622935.91|513690.44
52391|955|59|2|649856.64|881582.91|533683.04
77142|1061|54|3|328741.36|679453.33|541958.135
82735|871|59|3|916120.73|623929.31|149756.83
50744|1041|2|3|591868.22|779752.97|432772.115
38935|1012|47|2|732224.16|641528.85|955267.205
88040|1618|27|3|90272.9|479232.33|250287.68
88914|1684|92|3|852039.62|600036.78|523782.18
99806|587|52|1|85334.75|666343.28|539613.705
36262|84|18|2|912671.56|583975.97|288080.99
96047|752|6|1|680833.65|341536.72|668809.335
81212|1752|70|2|269619.82|155226.39|631127.335
77199|636|31|1|557673.55|837171.2|866080.925
32220|133|95|3|872680.23|535257.43|537921.715
11145|1000|9|2|325945.35|858562.08|327554.7
39336|1150|7|1|527330.98|225464.68|355087.215
59630|1166|23|2|373411.23|511348.93|707184.04
56356|1040|6|1|116842.86|997618.05|891481.47
24212|797|76|2|784463.98|339246.39|539480.815
1470|1022|68|3|641423.6|10380.85|189667.79
90734|738|96|3|742491.54|652986.48|381232.26
12802|1664|67|3|421032.34|7475.33|578042.325
53719|87|96|1|662869.11|658557.92|501439.615
2009|1509|60|2|384791.47|186178.92|861839.145
49768|286|26|3|255174.34|959516.63|383609.38
28037|67|88|1|966634.67|523779.35|47316.79
78588|444|11|1|17838.98|446103.63|466441.255
79426|601|17|1|996551.58|110161.94|206618.17
46746|1499|5|1|947797.38|674239.5|518943.545
81043|1318|72|2|626434.74|266620.4|802958.795
86599|860|50|3|456097.22|324106.34|693575.91
83524|760|57|3|566131.1|254595.58|442124.52
27730|558|36|3|751428.86|497781.57|658633.15
14657|1255|38|1|725280.84|370308.95|620942.28
