interaction_id|date_id|customer_id|channel_id|location_id|interaction_type|interaction_rating
9329|1366|98|4|9|Chat|3
37356|929|18|1|31|Call|5
41471|1692|27|5|37|Call|4
17046|292|11|1|5|Call|1
19658|397|100|3|23|In-Person|2
16558|1425|77|5|2|Chat|3
4586|1328|18|5|8|Call|2
81019|1267|35|4|3|In-Person|4
81268|294|60|2|43|Call|4
1894|489|59|1|5|Call|2
66641|805|93|4|37|Call|1
61702|1435|26|4|20|In-Person|4
70977|340|57|3|47|Chat|4
31665|275|44|2|20|Email|2
77686|595|29|3|32|Email|5
60210|1475|57|3|28|In-Person|2
76224|1121|40|3|50|Chat|1
55937|1693|30|1|28|Chat|5
78070|682|63|1|49|Email|1
47876|1549|61|4|32|In-Person|1
91720|393|26|2|5|Call|4
28498|1104|66|1|18|Chat|2
79518|1304|96|3|26|In-Person|4
60962|1630|57|4|29|Email|3
63014|1219|88|2|44|Call|1
27023|226|18|1|11|Call|2
20872|717|51|4|25|Call|4
40763|1247|80|5|19|Chat|3
80840|1254|30|4|44|Call|3
97747|651|18|5|17|Chat|5
96858|1609|23|4|34|In-Person|3
72746|1521|65|3|30|In-Person|3
85638|472|80|5|25|Chat|2
8911|627|42|4|44|In-Person|3
91045|1165|19|3|26|Email|2
26540|948|48|1|23|Call|3
93811|1583|81|2|7|Call|1
1864|1159|77|2|12|Email|1
65862|947|2|1|31|In-Person|5
34399|1518|81|2|7|Chat|5
92022|1389|100|3|20|Email|5
61158|1332|84|5|27|Call|5
50900|1406|48|5|36|Email|5
16425|1319|44|3|36|Email|2
70962|379|33|4|23|Email|2
51595|416|18|4|30|Email|5
90151|1559|67|4|34|Chat|2
13505|378|100|2|19|Email|3
63000|336|59|2|32|Chat|2
78520|15|12|5|24|In-Person|4
64248|386|84|4|20|In-Person|5
75661|1179|19|4|14|In-Person|3
24060|371|33|3|2|In-Person|5
8499|1681|52|3|5|Call|3
10196|1643|88|1|43|Email|2
96341|727|23|1|19|Email|5
20377|1235|90|2|47|Chat|5
58570|222|6|1|1|Call|3
2355|1464|78|5|33|Call|3
57325|921|55|2|5|Email|4
85284|862|97|5|19|Email|3
77572|1143|41|4|33|In-Person|1
66012|1231|16|3|39|Call|4
52338|1560|66|2|11|Call|5
86613|1143|100|4|21|Email|1
58029|963|71|2|15|In-Person|1
98143|1388|95|5|15|Call|5
70035|1676|26|2|19|Chat|5
48111|1136|7|5|8|Call|3
5040|1636|49|1|2|Chat|5
26734|59|66|3|21|Call|5
29717|658|54|5|16|In-Person|5
21233|702|97|5|11|Call|5
58329|288|82|2|21|Email|4
55314|596|32|5|21|Call|4
34189|755|95|3|2|In-Person|1
24876|543|42|3|15|In-Person|3
93572|242|54|5|6|Email|4
11710|561|65|4|38|In-Person|1
21783|739|71|4|4|Chat|2
14320|1328|22|1|34|Chat|3
87352|1027|62|3|14|Chat|4
91174|509|76|4|36|Chat|2
31936|1522|51|3|49|In-Person|4
81334|396|31|1|5|Email|2
58355|1650|17|2|41|Email|2
74493|380|21|5|28|Email|4
62226|678|4|5|2|Chat|3
41529|1247|6|4|43|In-Person|2
39652|243|62|3|50|Chat|4
44136|1009|47|1|15|Chat|2
96020|1779|49|2|24|In-Person|2
89230|1240|29|2|20|Email|4
47758|628|99|3|33|In-Person|4
83644|22|76|4|34|In-Person|5
62334|563|100|3|39|Call|5
6508|1412|70|3|25|In-Person|4
28701|1103|67|2|50|Email|3
71175|142|73|2|9|Call|3
57681|174|85|2|43|In-Person|3
49855|1807|51|1|30|Email|3
74836|601|45|1|14|Chat|5
29171|896|87|4|40|Email|2
59200|1460|39|4|30|Email|4
52517|1566|96|2|5|In-Person|4
27289|895|35|2|22|In-Person|5
42990|694|87|1|39|Email|3
2934|269|17|2|22|Call|1
89944|525|67|4|9|Chat|3
19005|964|52|5|35|Email|4
1373|1513|14|1|39|In-Person|2
96123|457|83|2|42|Email|3
50947|634|19|4|25|Chat|1
93664|226|94|4|21|Call|1
77598|89|71|1|31|Email|4
88322|697|76|4|26|Chat|5
188|258|99|5|31|Chat|4
29616|392|94|3|44|Email|1
20977|1565|33|1|18|Email|5
65782|1671|28|4|18|Email|4
27195|353|42|1|23|Call|4
75993|170|66|4|2|Chat|4
36963|1783|40|5|35|Chat|5
3440|591|50|4|18|Email|3
69211|571|37|5|3|Chat|1
38219|1484|93|2|43|In-Person|1
91458|256|22|2|35|Chat|3
58443|33|49|3|16|Chat|4
72611|852|40|2|43|Email|4
76397|468|32|5|1|In-Person|2
41747|766|97|4|2|Email|1
54160|946|35|1|14|Email|3
99212|630|73|4|29|Email|1
84160|340|57|3|42|Call|2
81356|1064|86|1|26|In-Person|4
29889|509|65|4|43|Email|3
37857|92|43|2|25|Chat|4
65230|1660|22|3|46|Email|4
26189|108|90|3|13|Chat|3
88630|1676|9|1|21|Chat|1
15415|1753|15|3|30|Chat|1
98731|1579|31|1|21|Email|4
78269|1217|84|5|39|Email|2
50089|781|41|3|2|In-Person|5
79605|1804|24|1|18|Chat|1
57267|1806|35|2|49|In-Person|1
38862|1485|22|2|9|Email|4
84593|494|83|1|5|Call|2
47924|1232|93|5|22|Email|1
37902|619|74|5|37|In-Person|1
60114|229|64|4|5|Email|3
52042|1179|39|2|50|Call|5
76430|704|32|2|10|Chat|4
81809|800|29|2|47|Email|1
53397|1523|67|4|4|In-Person|2
92827|425|16|1|33|In-Person|3
86094|1424|33|5|7|Call|3
54215|1139|71|1|36|Call|3
69887|862|47|3|20|Chat|3
53862|906|89|2|31|In-Person|5
50668|1286|2|4|15|Email|5
88906|1059|60|1|50|In-Person|5
12872|1370|80|3|28|Email|3
65291|199|48|2|37|In-Person|1
95060|1631|30|3|9|In-Person|5
73189|508|94|2|1|Email|5
16471|357|29|1|24|Chat|2
75802|454|40|4|47|Chat|2
47887|1187|27|5|4|In-Person|3
61918|778|62|5|24|Chat|4
14857|831|72|4|14|Chat|3
40761|721|35|3|42|Chat|4
15877|1557|23|4|13|Email|1
90294|781|81|3|2|In-Person|5
92977|915|92|3|12|In-Person|1
25794|1530|31|2|10|Chat|3
81421|916|68|5|2|In-Person|2
79851|1191|66|5|2|Call|5
30322|1565|13|5|2|Chat|4
29927|1665|49|1|26|Email|5
98904|1249|94|1|23|In-Person|5
21962|1429|80|5|50|Chat|3
31801|1548|36|4|19|Email|1
48839|1568|73|1|34|Chat|2
81539|1804|63|2|32|Call|3
8061|523|21|3|1|Call|5
47084|832|85|1|35|Call|4
39423|585|46|3|36|Email|1
94947|1172|81|2|32|Email|3
15515|1712|36|2|41|Email|3
29948|369|51|4|40|In-Person|5
23575|711|30|3|44|In-Person|2
81687|1171|9|5|37|In-Person|3
46956|1235|15|5|42|Chat|1
45048|914|93|1|2|Email|4
38323|765|63|3|21|Email|3
39870|1558|35|2|12|In-Person|5
13112|420|63|5|34|Chat|3
30774|1165|36|5|31|Email|2
15443|1690|76|4|21|In-Person|5
89664|792|94|3|2|Call|1
85280|429|1|3|8|Call|3
35636|531|47|5|26|Email|1
48146|744|78|1|4|Email|1
71690|453|45|3|48|In-Person|5
41309|520|57|1|7|Call|5
61984|544|10|4|32|In-Person|3
44103|34|92|2|50|Chat|3
57594|74|44|1|20|Chat|2
8214|1726|55|5|2|Chat|4
55712|1542|63|3|41|Chat|3
44655|1268|93|1|38|Chat|1
81510|1759|89|3|40|Email|4
65414|57|58|1|21|In-Person|2
41293|73|49|3|1|Email|2
8383|460|52|3|1|Email|4
11503|1508|63|3|12|Chat|2
48998|1581|83|3|8|Call|3
67663|1222|58|5|22|Email|4
22074|1475|36|1|11|Email|2
96785|502|65|4|44|Email|3
18553|596|20|1|49|Chat|4
55887|550|25|1|27|In-Person|1
62463|360|55|1|37|Email|3
94485|655|85|1|14|Email|4
23096|1522|78|3|29|Call|1
19842|1730|60|4|1|Chat|3
7643|90|81|1|5|Email|2
7075|1454|96|3|40|Call|5
86049|638|10|3|26|In-Person|1
49454|887|52|4|39|Call|4
35585|359|37|5|1|Email|5
80988|108|53|1|50|In-Person|2
50280|893|22|1|41|Chat|5
66034|140|17|4|5|Chat|4
50307|1468|19|1|22|In-Person|2
82486|625|33|1|5|In-Person|3
79759|524|88|1|36|In-Person|4
98902|1631|94|3|28|Chat|4
98363|339|21|1|45|Call|1
37953|1463|95|3|38|Chat|3
47138|754|85|2|12|Chat|3
26163|1392|12|4|44|Chat|5
39225|1125|83|5|47|Call|4
50259|162|32|5|33|Email|3
96506|733|10|1|21|Call|2
33744|1486|22|5|45|Call|4
56711|361|29|1|41|Email|3
37175|946|95|4|38|Call|3
76708|830|28|5|50|In-Person|4
4139|97|56|3|21|Chat|3
83170|348|44|5|27|Chat|2
77694|1046|93|4|17|Email|2
70877|1466|19|4|28|In-Person|1
432|140|84|2|3|In-Person|3
69912|1127|7|2|15|In-Person|3
16713|1756|9|2|6|In-Person|5
57351|1777|94|3|15|In-Person|5
15601|1650|60|1|46|Call|3
30629|1665|39|4|5|Email|4
20484|903|8|2|16|Chat|4
22393|226|82|5|41|Chat|5
73995|1679|88|1|24|Call|1
2637|1630|96|1|11|Call|1
5392|857|17|4|15|Email|2
25265|1357|84|5|14|In-Person|2
8872|1757|84|1|15|Chat|2
83917|1138|1|2|46|Call|1
15935|864|1|5|50|Email|1
70384|14|91|1|43|Call|1
77398|1270|14|1|41|Call|3
438|185|97|3|5|Call|2
63003|1414|55|1|9|Call|3
29705|190|25|3|36|In-Person|2
9335|1303|2|3|31|Call|5
95224|624|60|1|18|Chat|4
48840|167|27|4|22|Email|3
55252|1239|81|4|23|Email|2
82066|764|34|5|40|Email|1
81637|360|73|5|35|In-Person|2
75081|183|99|1|13|Email|2
10345|1615|46|2|31|Call|1
48740|900|66|4|26|Chat|4
99837|1544|66|4|28|Call|5
71975|384|6|4|28|In-Person|5
16930|315|55|2|34|Call|2
96142|111|69|2|13|Email|1
33007|728|98|2|35|Email|1
16838|1243|53|5|26|Chat|3
46019|812|40|4|46|In-Person|1
46239|1062|41|5|47|Call|3
57739|848|57|4|1|In-Person|5
857|625|84|4|26|Call|4
30756|690|37|2|20|In-Person|4
96956|572|33|4|36|Email|4
33574|108|84|4|9|Chat|4
66887|391|18|2|1|Chat|4
75150|1813|71|5|39|Email|3
41448|826|57|5|15|Call|3
53546|423|77|5|9|Call|1
86193|1359|31|2|46|Call|3
98285|621|58|4|2|Chat|1
41626|558|57|2|4|In-Person|3
15412|1283|69|3|19|Email|4
17397|691|22|1|36|Chat|4
7674|928|37|3|38|Call|5
31349|792|95|5|3|Email|1
55335|1163|25|3|7|In-Person|3
68860|1622|76|3|24|Email|2
88302|448|59|1|32|Call|3
6434|389|29|5|16|Email|4
86628|299|67|3|47|Email|2
32674|1090|60|5|13|Call|4
76336|1546|23|3|44|Call|1
21138|1277|7|5|39|Call|3
91129|1457|67|2|48|Call|4
29057|1613|89|1|44|In-Person|2
49858|1082|75|1|39|In-Person|1
83339|123|28|3|29|Call|2
1420|1646|4|2|13|Call|2
75408|1255|45|1|42|In-Person|3
78810|1255|29|4|50|Email|5
53863|1569|82|2|24|Chat|1
60122|231|43|1|28|Call|2
82527|158|52|5|38|In-Person|1
57729|447|56|3|46|Chat|2
86535|1113|30|4|10|Chat|3
31381|640|90|1|28|In-Person|5
85196|1514|57|3|35|Call|2
704|1116|79|2|5|Call|1
36402|46|93|3|35|In-Person|5
27713|976|7|2|19|Email|4
62924|1046|69|5|45|Call|3
92391|893|74|5|4|Chat|1
91202|331|21|1|30|In-Person|2
76733|1564|2|2|30|In-Person|4
45079|488|82|2|38|In-Person|2
76099|809|85|2|45|Call|2
56512|70|35|4|48|Chat|3
50637|17|37|1|1|In-Person|1
55297|1336|62|2|38|In-Person|2
20327|1364|5|3|12|Call|4
83045|455|70|5|31|In-Person|2
1861|1312|100|4|45|Call|3
76481|1256|84|1|49|Email|3
62809|431|13|4|25|Call|3
46405|786|51|5|37|Chat|4
36442|1317|8|3|16|Chat|1
45350|1553|83|2|42|In-Person|5
61973|422|70|3|38|Chat|2
12127|809|100|5|13|In-Person|3
37283|1007|70|3|48|In-Person|1
81060|201|58|1|16|In-Person|2
53514|831|41|5|13|Email|4
94198|572|74|5|44|In-Person|3
33136|1324|70|4|49|Email|4
50571|1542|22|3|13|Chat|1
16397|671|94|3|27|Chat|1
99330|1019|91|3|36|Chat|5
20518|1211|20|3|6|Call|5
16890|445|88|1|2|In-Person|2
81996|1730|51|1|36|Email|1
12328|1730|59|1|7|Email|1
50432|1700|12|3|7|In-Person|4
89321|1729|34|2|23|Call|1
53779|1078|41|2|27|In-Person|1
11571|547|5|5|15|In-Person|2
73864|1547|83|4|20|In-Person|5
64294|27|23|5|45|Email|4
45895|1302|17|2|5|Email|1
6826|614|16|1|31|Chat|5
64586|1175|79|2|50|Call|4
23956|1677|50|5|45|Email|4
86680|1752|38|3|36|Email|5
20409|1196|59|2|24|Call|3
19885|746|48|2|27|In-Person|1
66507|1579|85|1|25|In-Person|4
6695|1807|44|3|16|Email|3
91824|1454|42|5|3|Email|3
53695|1242|44|1|40|Email|3
46257|1024|44|1|44|Call|2
36605|1814|54|3|18|Chat|4
15427|1712|60|2|2|Call|1
32254|229|85|4|11|In-Person|2
90009|1392|66|2|45|Call|2
82407|68|94|3|45|Call|5
97005|1270|16|4|31|Chat|4
91522|1583|71|4|2|Call|1
50310|1770|76|5|33|Email|1
2827|1431|52|1|34|Call|2
36371|459|58|2|19|In-Person|3
81941|775|55|3|3|In-Person|5
61863|1433|48|3|8|Chat|4
83661|887|50|3|34|Email|1
85147|1809|54|4|40|Email|4
39713|1806|17|1|11|Email|1
28013|1402|6|5|45|Chat|3
83365|1629|19|5|50|In-Person|3
62636|826|68|1|26|Chat|2
18329|1475|60|5|36|Call|2
17336|1785|67|4|8|Call|4
81789|1407|46|5|2|Chat|3
98026|879|57|4|40|Call|2
36284|903|21|2|19|Chat|5
56956|1725|71|4|22|Call|2
23030|443|18|5|50|Chat|3
25674|1450|89|3|2|Email|2
45794|258|80|3|3|Chat|5
71838|366|29|2|39|Chat|3
87008|749|15|2|21|Call|1
31940|1423|42|1|29|In-Person|4
37477|1403|44|1|41|Chat|2
94404|47|72|3|42|In-Person|2
58495|1533|11|3|18|Call|3
32353|1575|59|3|17|In-Person|4
35840|314|35|2|22|Email|4
99581|684|62|5|13|Chat|5
68324|1813|16|4|15|In-Person|3
63254|701|33|2|23|In-Person|4
63844|843|44|3|17|Email|3
57220|1475|27|2|37|In-Person|4
82450|1140|72|1|15|Email|3
49368|1669|34|5|20|Chat|4
88374|574|76|1|39|Email|4
59342|1708|66|4|42|In-Person|5
44447|795|75|1|31|In-Person|3
86898|442|36|5|19|Chat|4
69893|203|30|1|12|Email|2
94377|241|96|2|24|Email|1
21762|1026|68|2|45|Chat|4
19835|1567|37|2|34|In-Person|3
64461|640|4|2|9|In-Person|5
29310|632|5|3|47|Chat|1
64332|950|32|2|15|Chat|1
94120|1598|83|5|11|Chat|4
1215|1017|52|5|6|Chat|5
38638|327|96|1|2|Chat|5
81755|637|18|3|6|In-Person|4
32348|1022|54|4|7|In-Person|2
87726|955|37|2|21|Email|4
7057|29|56|1|50|Call|2
92249|1530|28|3|14|Call|4
15955|836|17|2|27|Chat|5
81171|999|64|4|21|In-Person|3
86031|884|41|4|17|Call|4
35621|1182|75|1|35|Chat|2
36894|593|34|1|30|In-Person|4
25684|406|59|3|17|Call|2
46145|589|10|5|40|Email|5
32502|1077|37|2|28|Chat|1
34454|1690|42|3|49|In-Person|3
63711|579|13|4|40|Call|1
16424|367|9|2|35|In-Person|1
28091|703|47|1|23|Call|3
24085|1794|13|5|43|In-Person|2
69511|589|7|3|13|Call|1
29041|563|36|4|42|Call|3
68081|637|28|5|46|Call|2
93132|278|6|1|33|Email|5
63871|1015|67|5|21|Call|4
44637|1046|42|5|10|Call|3
30585|408|43|2|30|Email|1
5750|898|72|2|30|Email|4
33900|171|42|2|42|Email|3
60722|102|18|2|39|In-Person|1
93939|406|44|2|39|In-Person|4
26951|1417|42|1|6|Chat|4
46942|1092|13|5|19|In-Person|4
27925|952|1|2|28|Call|5
62752|1131|93|3|39|Chat|4
75935|635|100|1|25|Call|2
28238|465|71|2|6|Email|1
22681|1102|33|1|9|Chat|3
97613|1801|61|5|44|Email|1
19542|506|74|4|35|Call|1
65537|1788|91|2|41|Chat|4
33288|533|89|2|50|In-Person|2
97471|352|74|5|13|In-Person|4
83176|152|100|3|10|Chat|5
56890|1137|73|5|41|Email|4
99565|854|91|1|33|Call|2
70893|800|49|4|29|Email|2
89332|808|44|2|30|Email|4
43520|499|56|4|5|Email|4
3218|1642|2|1|29|Email|2
18664|877|93|1|25|Call|2
60151|1167|16|4|20|Email|2
91727|1155|10|1|35|In-Person|4
92472|1558|40|4|50|Chat|3
66865|1152|70|2|6|Call|4
6231|1559|65|2|18|Call|5
21488|60|24|4|10|Chat|2
79469|424|32|5|43|Call|4
15812|810|69|3|30|Chat|2
30101|274|4|1|31|Email|1
19818|972|18|2|14|Call|1
60932|764|60|2|2|Chat|2
93136|431|38|5|44|In-Person|3
23570|1443|40|1|20|Call|2
52988|578|80|2|1|Email|5
98224|493|23|2|50|Call|2
40232|772|62|3|2|Call|1
10050|46|32|4|17|In-Person|1
53179|80|47|4|1|Call|1
46078|539|54|4|33|Call|2
3441|290|86|1|7|Call|4
35492|1174|33|1|44|In-Person|5
30905|971|84|5|5|Email|3
87563|1681|85|2|13|Chat|1
28920|1640|17|2|22|Chat|5
70314|1487|88|3|24|Email|4
15141|89|92|3|25|Email|4
24041|383|8|5|27|Email|1
68515|1591|82|1|23|Email|1
38133|1727|32|2|10|Chat|3
4292|1624|96|1|32|In-Person|5
8734|80|22|3|31|Chat|4
768|1452|60|4|40|In-Person|5
41628|1399|91|3|49|Call|4
46949|1599|49|3|34|In-Person|1
36148|1398|51|4|13|Email|1
16615|357|58|2|28|Call|1
1276|1747|73|1|33|Email|2
82799|1707|41|3|16|In-Person|4
56703|300|28|2|34|In-Person|5
49684|192|88|3|3|Email|5
63595|1376|100|4|20|Chat|2
7132|1742|87|3|5|Call|5
57548|439|53|4|8|Chat|1
18188|256|31|5|48|In-Person|3
52826|1537|96|4|23|In-Person|2
35607|116|6|2|16|Chat|2
3027|925|91|4|45|Call|5
68100|1571|59|3|35|In-Person|5
9071|1788|33|1|31|Email|2
85188|1563|4|2|32|Email|2
97719|738|53|2|28|Email|4
46178|1657|36|3|2|In-Person|5
18294|519|69|3|5|Call|5
54352|684|74|4|26|Chat|3
87789|967|64|5|3|Chat|5
67722|1697|54|4|36|Email|5
73910|879|58|4|38|Email|4
24891|974|59|4|5|Call|2
88738|1071|65|2|42|Email|4
1409|662|35|1|42|Email|2
52667|1343|78|2|1|In-Person|3
73887|1032|23|3|16|Call|1
87736|447|5|2|36|Chat|2
97135|1804|72|1|34|Chat|3
18136|449|66|5|9|Call|2
96753|143|63|1|11|In-Person|2
14992|397|60|3|45|Chat|4
76913|528|44|5|44|Email|5
43200|513|89|4|48|Call|5
19451|639|27|2|4|Chat|5
17086|142|19|2|29|In-Person|1
80664|1463|94|3|16|Email|1
66190|915|9|4|44|Call|5
42750|126|96|5|39|Email|1
1037|1132|78|5|23|Chat|3
74796|294|49|1|8|In-Person|2
3303|1125|27|4|47|Chat|3
46943|63|1|4|10|Email|2
83256|329|14|3|39|In-Person|5
95996|492|95|5|25|In-Person|3
93464|638|50|2|6|In-Person|4
53119|993|39|4|21|In-Person|1
64076|71|22|4|47|Email|2
2507|38|65|3|16|In-Person|5
19937|419|80|2|34|Email|3
21857|456|39|3|30|In-Person|1
30022|802|21|1|18|In-Person|3
54338|1691|21|5|41|Call|3
53367|295|99|4|7|Email|5
5125|1685|53|4|12|Email|3
61465|1788|5|3|29|Chat|5
73426|1571|9|5|20|Chat|2
36496|1136|30|5|6|Chat|1
6105|1380|63|5|2|Call|4
57809|1040|96|2|2|Call|2
72670|1784|38|5|10|Email|3
87028|1708|8|4|44|In-Person|1
82456|989|88|1|48|Chat|3
94934|195|19|2|37|In-Person|4
67947|174|16|3|23|In-Person|2
7705|550|87|4|14|Email|5
76676|456|55|5|45|Chat|2
20061|684|66|4|26|Call|1
93501|477|90|1|49|In-Person|5
40925|530|80|2|24|Call|5
44798|228|89|2|30|Chat|4
55162|581|65|1|35|Email|5
35365|326|48|3|8|Call|4
24800|1714|94|3|21|Email|3
24254|949|58|1|30|In-Person|2
33587|939|54|3|34|Call|1
42048|1254|89|4|3|Chat|2
31090|302|74|2|16|Email|2
53047|995|26|2|44|Email|4
31637|1113|77|2|36|Email|3
64446|1210|34|5|13|Call|5
55435|1481|72|5|6|Chat|2
15892|901|24|4|39|Email|2
74319|1582|100|1|47|Chat|1
67974|201|73|2|35|Call|5
64663|1567|77|5|32|Email|3
13367|1741|84|3|12|Chat|5
20182|330|80|4|50|Call|3
47704|180|81|3|33|Call|2
31562|1693|27|5|28|Call|5
41051|1655|95|2|11|In-Person|4
10984|1807|96|5|10|Call|1
50340|1785|31|5|20|In-Person|4
39270|299|69|3|30|Call|2
46894|69|44|4|24|In-Person|5
91421|311|23|2|16|Call|2
48351|1041|61|4|5|In-Person|3
26385|923|89|3|9|In-Person|2
12746|800|45|1|28|Call|3
19644|1365|11|2|43|Chat|3
38145|372|8|4|16|Call|1
55259|1399|72|1|45|Chat|3
41263|1296|43|3|45|In-Person|5
30222|1493|3|4|35|In-Person|1
54608|684|42|4|33|Email|5
13468|1571|33|2|12|Chat|3
59919|787|54|4|2|Email|2
69727|231|26|3|21|Email|5
51443|49|40|5|50|In-Person|1
96241|1702|10|1|3|Call|1
93130|797|42|1|18|In-Person|3
5046|1220|87|5|17|Email|5
91471|271|61|5|12|In-Person|2
62103|801|37|3|33|Email|2
47525|1206|17|3|3|In-Person|3
58394|586|70|1|2|Chat|2
62661|288|71|4|3|Chat|5
30841|1080|91|3|5|Call|3
36596|1442|58|1|43|Chat|2
56237|1680|11|3|24|Chat|4
35021|367|78|2|2|Email|4
25256|148|93|4|32|Call|4
86983|546|81|4|42|Chat|1
20076|933|27|5|7|In-Person|4
48955|1373|7|4|44|In-Person|2
23987|560|87|4|49|Call|5
7752|404|10|3|50|Email|3
28746|729|21|4|12|Call|4
20747|1819|84|4|16|Call|1
77679|494|1|5|1|Chat|2
17032|1544|98|5|42|In-Person|5
67765|418|67|1|46|Call|1
97708|1117|4|5|16|Email|4
6834|1736|40|1|22|In-Person|2
98986|1809|43|4|24|Email|4
33774|179|39|1|40|Email|3
67492|1104|85|1|18|Chat|5
28176|911|80|3|3|Call|1
49516|101|54|5|37|Chat|2
83459|1087|50|3|29|In-Person|3
80813|1735|78|2|49|In-Person|5
44608|1297|92|2|26|Email|3
40654|1407|81|2|31|Email|3
36255|1074|72|3|38|In-Person|1
3942|322|12|5|20|Call|3
50482|260|93|3|13|Email|2
84278|45|100|1|50|In-Person|3
77918|656|24|4|5|Chat|3
73069|706|87|5|39|Chat|3
7873|583|46|5|16|Email|4
70713|532|61|5|1|Chat|1
9435|1735|63|4|45|Call|3
76130|1825|26|3|5|In-Person|3
61717|396|64|1|39|Chat|2
60941|1709|86|1|35|Call|3
69389|356|59|4|27|Chat|5
64731|867|50|2|46|Chat|4
17695|1341|55|5|16|Email|1
40436|1222|40|3|47|Chat|3
93271|1338|61|5|42|In-Person|3
7025|514|68|2|27|Chat|2
19074|316|34|2|40|In-Person|3
74736|197|21|5|9|Email|3
55203|607|7|5|48|Email|5
60874|536|75|3|32|Call|4
63015|89|27|2|36|Email|1
78133|321|17|2|2|Chat|3
25046|887|17|4|45|Call|1
1729|556|67|4|47|Email|4
30618|1529|24|5|39|Email|1
